0, 32, 45, 19, 21, 11, 9, 5, 3, 5, 4, 3, 5, 1, 2, 2, 0, 5, 3, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 46, 34, 27, 25, 35, 37, 37, 34, 25, 13, 22, 5, 15, 8, 2, 5, 4, 4, 1
0, 19, 20, 23, 20, 19, 20, 27, 11, 15, 11, 7, 5, 4, 4, 2, 0, 0, 0, 0
0, 34, 23, 16, 7, 7, 17, 6, 6, 7, 6, 8, 7, 8, 2, 1, 4, 4, 3, 1
0, 68, 6, 3, 7, 3, 1, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 73, 41, 30, 21, 18, 28, 10, 7, 12, 7, 4, 9, 6, 5, 6, 4, 2, 1, 3
0, 43, 41, 34, 18, 31, 24, 15, 15, 19, 12, 10, 7, 11, 9, 3, 2, 4, 1, 0
0, 6, 9, 5, 3, 4, 2, 4, 2, 3, 3, 1, 1, 0, 2, 0, 0, 0, 0, 0
0, 6, 7, 1, 4, 1, 2, 3, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
